ATC_C,ATC_H,ATC_N,ATC_O,ATC_S
25.8,11.31,56.18,6.71,0.0
25.37,13.06,51.87,9.7,0.0
24.9,14.69,52.65,6.94,0.82
27.3,10.2,52.63,9.87,0.0
24.53,15.09,50.47,7.08,2.83
23.08,15.38,51.44,7.21,2.88
22.69,16.2,51.85,6.48,2.78
28.0,11.64,54.91,5.45,0.0
27.94,11.76,54.78,5.51,0.0
28.06,11.51,55.04,5.4,0.0
25.78,15.56,49.78,6.67,2.22
27.71,9.24,54.46,8.6,0.0
25.45,11.47,55.91,6.45,0.72
25.51,14.98,52.63,6.88,0.0
25.1,15.23,52.26,6.58,0.82
25.46,15.13,52.03,7.01,0.37
27.07,14.66,51.13,7.14,0.0
24.5,16.06,51.81,7.63,0.0
26.16,11.47,55.56,6.81,0.0
28.83,11.39,54.09,5.69,0.0
27.86,11.43,55.0,5.71,0.0
28.43,10.78,53.59,7.19,0.0
31.12,9.06,51.96,7.85,0.0
26.99,10.73,56.4,5.88,0.0
25.1,12.94,55.29,6.67,0.0
27.05,11.03,55.52,6.41,0.0
25.9,11.15,56.12,6.47,0.36
25.43,11.34,57.04,6.19,0.0
25.76,10.51,57.29,6.44,0.0
26.47,10.78,55.23,7.19,0.33
26.4,10.89,55.45,6.93,0.33
25.28,14.34,53.58,6.79,0.0
27.64,9.94,55.9,6.52,0.0
27.62,9.84,55.87,6.67,0.0
27.81,9.38,56.25,6.56,0.0
27.64,9.94,55.9,6.52,0.0
27.59,10.03,55.8,6.58,0.0
26.44,11.19,55.93,6.44,0.0
25.08,13.36,53.09,8.14,0.33
26.03,13.97,50.48,9.52,0.0
23.85,13.85,52.69,9.62,0.0
26.8,13.4,52.94,6.86,0.0
25.82,12.75,52.94,8.17,0.33
24.36,13.09,54.18,8.36,0.0
25.76,11.86,53.22,8.47,0.68
27.67,11.0,53.0,8.33,0.0
27.11,11.97,52.82,8.1,0.0
26.67,12.0,52.33,8.67,0.33
30.62,9.77,53.75,5.86,0.0
30.77,9.62,53.53,6.09,0.0
30.42,10.03,53.72,5.83,0.0
26.75,9.87,56.37,7.01,0.0
26.88,9.69,56.56,6.88,0.0
26.69,9.97,56.27,7.07,0.0
27.05,10.27,55.82,6.16,0.68
28.16,11.33,52.43,8.09,0.0
26.26,12.46,54.88,6.4,0.0
26.13,12.54,52.26,8.01,1.05
25.96,13.33,51.58,8.42,0.7
25.65,12.34,52.6,8.77,0.65
28.34,11.15,52.23,7.96,0.32
24.83,14.48,52.41,8.28,0.0
29.94,10.19,54.46,5.41,0.0
28.85,10.82,54.75,5.57,0.0
27.7,11.49,55.07,5.74,0.0
27.21,12.01,54.06,6.01,0.71
26.9,10.44,55.06,7.59,0.0
26.56,10.49,56.07,6.89,0.0
26.48,12.2,54.7,6.62,0.0
28.12,11.25,51.88,8.75,0.0
28.1,11.76,54.9,5.23,0.0
26.64,11.76,55.71,5.88,0.0
26.78,11.53,55.93,5.76,0.0
26.48,12.2,55.4,5.92,0.0
26.01,12.16,52.36,8.78,0.68
26.37,11.99,55.48,6.16,0.0
26.37,11.99,55.48,6.16,0.0
26.3,12.11,55.36,6.23,0.0
27.24,12.07,54.48,6.21,0.0
26.3,12.11,55.36,6.23,0.0
26.3,12.11,55.36,6.23,0.0
26.37,11.99,55.48,6.16,0.0
26.3,12.11,55.36,6.23,0.0
26.3,12.11,55.36,6.23,0.0
25.76,11.86,55.59,6.78,0.0
26.0,12.0,52.67,9.33,0.0
26.56,12.13,53.11,8.2,0.0
25.59,12.46,55.89,6.06,0.0
26.28,11.6,55.97,6.14,0.0
25.17,12.59,55.94,6.29,0.0
25.99,9.04,58.47,6.5,0.0
25.99,9.04,58.47,6.5,0.0
26.89,14.39,50.76,6.82,1.14
26.15,9.85,54.46,9.54,0.0
28.23,9.91,53.15,8.41,0.3
25.55,10.41,53.0,9.78,1.26
26.79,14.64,50.78,7.79,0.0
28.71,10.73,52.68,6.94,0.95
28.16,10.44,53.16,7.59,0.63
27.63,11.41,52.25,8.41,0.3
27.74,11.59,51.83,8.54,0.3
25.26,14.04,52.28,7.72,0.7
27.67,11.95,52.2,7.55,0.63
27.45,11.76,52.61,7.52,0.65
26.91,9.5,56.46,7.12,0.0
26.64,18.09,49.34,5.92,0.0
26.62,12.99,52.6,7.47,0.32
27.95,11.18,52.48,7.76,0.62
28.09,10.8,52.78,7.72,0.62
29.79,10.64,54.1,5.47,0.0
29.91,10.88,53.17,6.04,0.0
29.48,10.94,53.5,5.47,0.61
28.92,10.77,54.77,5.54,0.0
28.57,11.18,54.66,5.59,0.0
27.48,11.82,54.95,5.75,0.0
27.48,11.82,54.95,5.75,0.0
26.99,10.51,55.4,6.53,0.57
31.33,8.88,51.96,7.83,0.0
27.45,11.44,54.9,5.88,0.33
26.23,11.11,54.63,7.1,0.93
25.99,11.31,55.05,6.73,0.92
27.52,11.41,55.03,6.04,0.0
28.01,10.54,55.72,5.72,0.0
27.87,10.06,55.75,5.75,0.57
27.24,10.84,56.35,5.57,0.0
27.41,10.54,56.33,5.72,0.0
27.36,10.64,56.53,5.47,0.0
27.21,12.46,54.43,5.9,0.0
27.25,11.68,54.49,6.59,0.0
26.9,11.71,53.16,7.59,0.63
25.99,12.17,55.26,6.58,0.0
25.75,12.04,54.85,7.36,0.0
26.87,10.53,54.29,8.31,0.0
24.73,12.37,56.18,6.71,0.0
24.91,12.29,55.97,6.83,0.0
26.47,12.09,54.58,6.86,0.0
26.45,12.26,54.52,6.77,0.0
26.58,12.03,54.75,6.65,0.0
24.83,12.08,55.7,7.38,0.0
25.0,12.16,56.08,6.76,0.0
26.47,12.09,54.58,6.86,0.0
26.14,12.42,54.9,6.54,0.0
27.41,10.84,53.01,8.73,0.0
24.78,11.34,54.63,8.06,1.19
25.16,11.95,55.66,7.23,0.0
26.16,12.25,54.3,7.28,0.0
26.32,11.76,55.11,6.81,0.0
25.55,11.99,55.52,6.94,0.0
26.09,11.8,54.97,7.14,0.0
22.99,16.09,52.49,6.51,1.92
26.05,10.78,56.29,6.59,0.3
25.76,10.91,56.36,6.67,0.3
25.8,11.78,56.37,6.05,0.0
25.72,11.9,56.59,5.79,0.0
25.68,12.16,56.08,6.08,0.0
25.69,10.7,56.88,6.12,0.61
26.11,10.98,56.08,6.82,0.0
25.88,11.5,55.91,6.71,0.0
26.57,11.64,54.93,6.87,0.0
26.38,11.96,54.91,6.75,0.0
26.55,11.21,55.46,6.78,0.0
25.45,10.3,57.58,6.67,0.0
27.5,10.0,52.5,8.89,1.11
27.35,9.94,52.21,9.39,1.1
27.51,11.65,55.02,5.83,0.0
25.82,9.34,58.24,6.59,0.0
27.54,10.43,55.65,5.8,0.58
27.33,11.05,52.91,8.72,0.0
25.24,12.3,55.21,7.26,0.0
27.35,9.94,52.21,9.39,1.1
26.98,12.06,52.7,7.62,0.63
25.7,11.76,55.73,6.81,0.0
29.12,11.18,53.53,6.18,0.0
28.09,11.73,53.7,6.48,0.0
25.68,9.84,57.65,6.83,0.0
27.27,13.48,52.66,6.27,0.31
25.34,11.44,52.59,9.54,1.09
29.36,10.8,53.46,6.37,0.0
26.89,11.18,55.89,5.74,0.3
27.35,10.19,54.69,7.51,0.27
25.3,11.45,52.41,9.04,1.81
24.33,10.98,53.12,9.79,1.78
25.93,12.35,55.25,6.48,0.0
26.74,10.31,55.71,6.69,0.56
26.91,12.54,54.13,6.42,0.0
23.42,11.39,53.8,9.49,1.9
23.49,10.84,53.92,9.94,1.81
24.92,11.25,53.8,8.21,1.82
23.95,10.78,54.49,8.98,1.8
26.1,12.02,54.84,6.74,0.29
26.32,12.38,55.11,6.19,0.0
25.54,11.69,56.31,6.46,0.0
27.04,11.27,52.68,9.01,0.0
26.99,11.36,52.56,9.09,0.0
26.99,11.36,52.56,9.09,0.0
25.95,11.95,54.52,7.29,0.29
26.42,13.84,51.89,7.23,0.63
26.52,13.11,52.74,7.01,0.61
26.48,13.71,52.02,7.17,0.62
27.25,12.46,52.46,7.83,0.0
23.39,10.53,53.8,10.53,1.75
28.57,11.05,51.75,8.63,0.0
26.76,10.88,56.18,6.18,0.0
25.49,13.07,51.63,8.82,0.98
26.2,12.35,55.72,5.72,0.0
26.08,9.87,55.44,8.61,0.0
27.64,12.25,52.42,7.41,0.28
29.28,8.93,54.84,6.95,0.0
29.11,9.37,54.43,7.09,0.0
27.61,13.19,50.61,7.98,0.61
25.67,9.63,58.02,6.68,0.0
25.61,11.89,56.4,5.79,0.3
25.53,12.16,56.23,5.78,0.3
25.54,12.0,56.31,5.85,0.31
27.81,10.96,53.09,7.58,0.56
25.23,12.16,52.89,8.51,1.22
24.68,14.29,51.62,8.77,0.65
25.15,12.42,55.76,6.67,0.0
25.0,14.29,53.57,7.14,0.0
25.52,16.78,50.35,7.34,0.0
23.21,10.71,53.57,10.71,1.79
24.17,11.18,52.87,9.97,1.81
25.07,11.04,52.24,9.85,1.79
